region,coverage_change,openness_change
Western Africa,0.5,-1.3000000000000043
Northern Africa,-4.699999999999996,-2.4999999999999964
Eastern Africa,1,-2
Middle Africa,-6.599999999999994,-1.8999999999999986
Southern Africa,2.200000000000003,-13.399999999999999
South America,0.7999999999999972,2.5
Central America,0.6499999999999915,3.0500000000000043
North America,-2.3999999999999986,-0.29999999999999716
Caribbean,-1.3500000000000085,-8.200000000000003
South-Eastern Asia,0.7999999999999972,5.5
Central Asia,5.700000000000003,-0.9000000000000057
Western Asia,-2.6999999999999886,8.400000000000006
Southern Asia,-4.899999999999999,3.8999999999999986
Eastern Asia,-3.5999999999999943,3.299999999999997
Northern Europe,-1.2999999999999972,9.299999999999997
Eastern Europe,-0.3500000000000085,-0.20000000000000284
Southern Europe,-0.7999999999999972,-1.499999999999993
Western Europe,-2.5,2.8000000000000114
Australia and New Zealand,-2.9000000000000057,3.75
Pacific Islands,0.25,-5.25
