macro_region,region,Most improved countries
Africa,Eastern Africa,"Ethiopia (+21), Somalia (+13), Mozambique (+10)"
Africa,Middle Africa,"Gabon (+10), Chad (+9), Sao Tome and Principe (+2)"
Africa,Northern Africa,"Morocco (+2), Tunisia (+2), Libya (+1)"
Africa,Southern Africa,"Eswatini (+7), Botswana (+4)"
Africa,Western Africa,"Togo (+9), Mauritania (+8), Sierra Leone (+6)"
America,Caribbean,"Anguilla (+9), St. Kitts and Nevis (+7), Trinidad and Tobago (+7)"
America,Central America,"Belize (+6), Mexico (+1)"
America,North America,Greenland (+4)
America,South America,"Chile (+19), Paraguay (+13), Guyana (6)"
Asia,Central Asia,"Uzbekistan (+4), Kyrgyz Republic (+3), Kazakhstan (+2)"
Asia,Eastern Asia,"Taiwan (+5), Hong Kong, SAR China (+5), Mongolia (+4)"
Asia,South-Eastern Asia,"Lao PDR (+7), Malaysia (+6), Vietnam (+5)"
Asia,Southern Asia,Bhutan (+4)
Asia,Western Asia,"Jordan (+15), Saudi Arabia (+10), Israel (+7)"
Europe,Eastern Europe,"Romania (+5), Moldova (+4), Russian Federation (+3)"
Europe,Northern Europe,"Latvia (+19), Estonia (+8), Norway (+6)"
Europe,Southern Europe,"Andorra (+28), San Marino (+9), Serbia (+6)"
Europe,Western Europe,"Liechtenstein (+16), Belgium (+12), France (+6)"
Oceania,Australia and New Zealand,Australia (+5)
Oceania,Pacific Islands,"Papua New Guinea (+5), Palau (+4), Tonga (+3)"
